x, y, z, u
0.58, 0.28, 0, 0.088045
0.6, 0.28, 0, 0.0865127
0.62, 0.28, 0, 0.0846464
0.64, 0.28, 0, 0.0824514
0.66, 0.28, 0, 0.0799339
0.68, 0.28, 0, 0.0771016
0.7, 0.28, 0, 0.0739633
0.72, 0.28, 0, 0.0705285
0.74, 0.28, 0, 0.0668086
0.76, 0.28, 0, 0.0628158
0.78, 0.28, 0, 0.0585642
0.8, 0.28, 0, 0.054069
0.82, 0.28, 0, 0.0493468
0.84, 0.28, 0, 0.0444156
0.86, 0.28, 0, 0.0392947
0.88, 0.28, 0, 0.0340048
0.9, 0.28, 0, 0.0285675
0.92, 0.28, 0, 0.0230057
0.94, 0.28, 0, 0.0173431
0.96, 0.28, 0, 0.0116042
0.98, 0.28, 0, 0.00581415
0.02, 0.32, 0, 0.00691929
0.04, 0.32, 0, 0.0138092
0.06, 0.32, 0, 0.0206366
0.08, 0.32, 0, 0.0273711
0.1, 0.32, 0, 0.0339828
0.12, 0.32, 0, 0.0404431
0.14, 0.32, 0, 0.0467245
0.16, 0.32, 0, 0.052801
0.18, 0.32, 0, 0.0586482
0.2, 0.32, 0, 0.0642437
0.22, 0.32, 0, 0.0695661
0.24, 0.32, 0, 0.0745955
0.26, 0.32, 0, 0.0793144
0.28, 0.32, 0, 0.0837067
0.3, 0.32, 0, 0.0877607
0.32, 0.32, 0, 0.0914648
0.34, 0.32, 0, 0.0948052
0.36, 0.32, 0, 0.097772
0.38, 0.32, 0, 0.100357
0.4, 0.32, 0, 0.102553
0.42, 0.32, 0, 0.104355
0.44, 0.32, 0, 0.105764
0.46, 0.32, 0, 0.106777
0.48, 0.32, 0, 0.107386
0.5, 0.32, 0, 0.10759
0.52, 0.32, 0, 0.107388
0.54, 0.32, 0, 0.106783
0.56, 0.32, 0, 0.105777
0.58, 0.32, 0, 0.104371
0.6, 0.32, 0, 0.102568
0.62, 0.32, 0, 0.100372
0.64, 0.32, 0, 0.0977873
0.66, 0.32, 0, 0.0948217
0.68, 0.32, 0, 0.091483
0.7, 0.32, 0, 0.0877808
0.72, 0.32, 0, 0.0837262
0.74, 0.32, 0, 0.0793317
0.76, 0.32, 0, 0.0746111
0.78, 0.32, 0, 0.0695804
0.8, 0.32, 0, 0.0642571
0.82, 0.32, 0, 0.0586606
0.84, 0.32, 0, 0.0528119
0.86, 0.32, 0, 0.0467338
0.88, 0.32, 0, 0.040451
0.9, 0.32, 0, 0.0339893
0.92, 0.32, 0, 0.0273762
0.94, 0.32, 0, 0.0206404
0.96, 0.32, 0, 0.0138117
0.98, 0.32, 0, 0.00692053
0.02, 0.36, 0, 0.00815109
0.04, 0.36, 0, 0.0162665
0.06, 0.36, 0, 0.0243059
0.08, 0.36, 0, 0.0322325
0.1, 0.36, 0, 0.0400104
0.12, 0.36, 0, 0.047605
0.14, 0.36, 0, 0.0549835
0.16, 0.36, 0, 0.0621151
0.18, 0.36, 0, 0.068971
0.2, 0.36, 0, 0.0755249
0.22, 0.36, 0, 0.0817527
0.24, 0.36, 0, 0.0876322
0.26, 0.36, 0, 0.0931432
0.28, 0.36, 0, 0.0982682
0.3, 0.36, 0, 0.102992
0.32, 0.36, 0, 0.107301
0.34, 0.36, 0, 0.111185
0.36, 0.36, 0, 0.114633
0.38, 0.36, 0, 0.117634
